,Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City,Company_clean
153,OMNICOM GROUP INC,,12,5,42%,Consumer Cyclical,New York,NEW YORK,omnicom group
154,OMNOVA SOLUTIONS INC,,11,2,18%,,,BEACHWOOD,omnova solutions
155,ON ASSIGNMENT INC,,9,1,11%,Industrials,California,CALABASAS,on assignment
156,On Deck Capital Inc,,9,1,11%,,,NEW YORK,on deck capital
157,ON SEMICONDUCTOR CORP,,9,1,11%,Technology,Arizona,PHOENIX,on semiconductor
158,ONE Gas Inc.,,7,1,14%,,,TULSA,one gas
159,ONE LIBERTY PROPERTIES INC,,10,0,0%,,,GREAT NECK,one liberty properties
160,OneBeacon Insurance Group Ltd.,,10,1,10%,,,PLYMOUTH,onebeacon insurance group
161,OneMain Holdings Inc.,,6,1,17%,Financial Services,Indiana,EVANSVILLE,onemain holdings
162,ONEOK INC /NEW/,,11,2,18%,Energy,Oklahoma,TULSA,oneok new
163,OOMA INC,,7,1,14%,,,PALO ALTO,ooma
164,OPKO Health Inc.,,8,2,25%,,,MIAMI,opko health
165,OPPENHEIMER HOLDINGS INC,,9,1,11%,,,NEW YORK,oppenheimer holdings
166,Optical Cable Corporation,,6,0,0%,Technology,Virginia,Roanoke,optical cable
167,Opus Bank,,8,0,0%,,,IRVINE,opus bank
168,ORACLE CORP,,13,3,23%,Technology,California,REDWOOD CITY,oracle
169,ORASURE TECHNOLOGIES INC,,7,0,0%,,,BETHLEHEM,orasure technologies
170,ORBCOMM Inc.,,7,0,0%,,,ROCHELLE PARK,orbcomm
171,ORBITAL ATK INC.,,13,2,15%,Industrials,Virginia,DULLES,orbital atk
172,Orchid Island Capital Inc.,,6,1,17%,,,VERO BEACH,orchid island capital
173,Orchids Paper Products CO /DE,,7,1,14%,,,PRYOR,orchids paper products de
174,Orexigen Therapeutics Inc.,,8,2,25%,Healthcare,California,La Jolla,orexigen therapeutics
175,ORGANOVO HOLDINGS INC.,,8,1,13%,Healthcare,California,SAN DIEGO,organovo holdings
176,Orion Group Holdings Inc,,6,0,0%,,,HOUSTON,orion group holdings
177,Oritani Financial Corp,,7,0,0%,,,TOWNSHIP OF WASHINGTON,oritani financial
178,ORMAT TECHNOLOGIES INC.,,8,0,0%,,,RENO,ormat technologies
179,ORRSTOWN FINANCIAL SERVICES INC,,12,2,17%,Financial Services,Pennsylvania,SHIPPENSBURG,orrstown financial services
180,ORTHOFIX INTERNATIONAL N V,,8,2,25%,,,LEWISVILLE,orthofix international n v
181,OSHKOSH CORP,,11,2,18%,Industrials,Wisconsin,OSHKOSH,oshkosh
182,OSI SYSTEMS INC,,7,0,0%,Technology,California,HAWTHORNE,osi systems
183,Osiris Therapeutics Inc.,,4,0,0%,Healthcare,Maryland,Columbia,osiris therapeutics
184,Otonomy Inc.,,7,2,29%,,,SAN DIEGO,otonomy
185,Otter Tail Corp,,9,3,33%,Utilities,Minnesota,FERGUS FALLS,otter tail
186,OUTFRONT Media Inc.,,7,2,29%,,,NEW YORK,outfront media
187,OVERSEAS SHIPHOLDING GROUP INC,,8,1,13%,,,TAMPA,overseas shipholding group
188,OVERSTOCK.COM INC,,7,1,14%,,,MIDVALE,overstockcom
189,Ovid Therapeutics Inc.,,5,1,20%,,,NEW YORK,ovid therapeutics
190,OWENS & MINOR INC/VA/,,11,3,27%,Healthcare,Virginia,MECHANICSVILLE,owens  minorva
191,Owens Corning,,11,2,18%,Basic Materials,Ohio,TOLEDO,owensrning
192,OWENS ILLINOIS INC /DE/,,12,2,17%,Consumer Cyclical,Ohio,PERRYSBURG,owens illinois
193,Owens Realty Mortgage Inc.,,5,0,0%,,,WALNUT CREEK,owens realty mortgage
194,Oxford Immunotec Global PLC,,9,1,11%,,,ABINGDON,oxford immunotec global plc
195,OXFORD INDUSTRIES INC,,9,2,22%,,,ATLANTA,oxford industries
196,PACCAR INC,,11,2,18%,Industrials,Washington,BELLEVUE,paccar
197,PACIFIC BIOSCIENCES OF CALIFORNIA INC.,,8,2,25%,,,MENLO PARK,pacific biosciences of california
198,PACIFIC CONTINENTAL CORP,,13,2,15%,,,EUGENE,pacificntinental
199,Pacific Ethanol Inc.,,7,0,0%,,,SACRAMENTO,pacific ethanol
200,Pacific Life Insurance Company,,15,3,20%,Financial Services,California,Newport Beach,pacific life insurancempany
201,PACIFIC MERCANTILE BANCORP,,10,0,0%,,,COSTA MESA,pacific mercantile bancorp
202,PACIFIC PREMIER BANCORP INC,,10,2,20%,,,IRVINE,pacific premier bancorp
203,Pacira Pharmaceuticals Inc.,,9,2,22%,,,PARSIPPANY,pacira pharmaceuticals
204,PACKAGING CORP OF AMERICA,,11,1,9%,Consumer Cyclical,Illinois,LAKE FOREST,packaging of america
205,PACWEST BANCORP,,11,2,18%,,,BEVERLY HILLS,pacwest bancorp
206,Palo Alto Networks Inc,,10,1,10%,Technology,California,SANTA CLARA,palo alto networks
207,Pandora Media Inc.,,5,2,40%,Consumer Cyclical,California,OAKLAND,pandora media
208,PANERA BREAD CO,,9,1,11%,Consumer Cyclical,Missouri,ST. LOUIS,panera bread
209,PANHANDLE OIL & GAS INC,,7,1,14%,,,OKLAHOMA CITY,panhandle oil  gas
210,Pantheon Enterprises Inc.,,7,2,29%,Basic Materials,Arizona,Phoenix,pantheon enterprises
211,PAPA JOHNS INTERNATIONAL INC,,7,3,43%,,,LOUISVILLE,papa johns international
212,PAR PACIFIC HOLDINGS INC.,,9,0,0%,Energy,Texas,HOUSTON,par pacific holdings
213,Paramount Group Inc.,,9,3,33%,,,NEW YORK,paramount group
214,Paratek Pharmaceuticals Inc.,,8,1,13%,,,BOSTON,paratek pharmaceuticals
215,PAREXEL INTERNATIONAL CORP,,8,2,25%,Healthcare,Massachusetts,WALTHAM,parexel international
216,PARK CITY GROUP INC,,6,0,0%,,,SALT LAKE CITY,park city group
217,PARK ELECTROCHEMICAL CORP,,5,1,20%,,,MELVILLE,park electrochemical
218,Park Hotels & Resorts Inc.,,9,2,22%,,Virginia,MCLEAN,park hotels  resorts
219,PARK NATIONAL CORP /OH/,,12,3,25%,,Ohio,NEWARK,park national oh
220,PARK OHIO HOLDINGS CORP,,8,1,13%,,,CLEVELAND,park ohio holdings
221,Park Sterling Corp,,12,2,17%,,,CHARLOTTE,park sterling
222,PARKE BANCORP INC.,,9,0,0%,Financial Services,New Jersey,WASHINGTON TOWNSHIP,parke bancorp
223,PARKER DRILLING CO /DE/,,9,0,0%,,,HOUSTON,parker drilling
224,PARKER HANNIFIN CORP,,13,2,15%,Industrials,Ohio,CLEVELAND,parker hannifin
225,Parkway Inc.,,7,0,0%,,,HOUSTON,parkway
226,Parsley Energy Inc.,,7,0,0%,,,AUSTIN,parsley energy
227,Parsons Corporation,,9,3,33%,Industrials,California,Pasadena,parsons
228,Party City Holdco Inc.,,11,1,9%,Consumer Cyclical,New York,ROCKAWAY,party city holdco
229,PATRICK INDUSTRIES INC,,8,0,0%,,,ELKHART,patrick industries
230,Patriot Transportation Holding Inc.,,5,0,0%,Industrials,Florida,Jacksonville,patriot transportation holding
231,Pattern Energy Group Inc.,,7,2,29%,,,SAN FRANCISCO,pattern energy group
232,PATTERSON COMPANIES INC.,,8,3,38%,Healthcare,Minnesota,ST. PAUL,pattersonmpanies
233,PATTERSON UTI ENERGY INC,,7,1,14%,Energy,Texas,HOUSTON,patterson uti energy
234,PAYCHEX INC,,9,1,11%,Industrials,New York,ROCHESTER,paychex
235,Paycom Software Inc.,,7,0,0%,,,OKLAHOMA CITY,paycom software
236,Paylocity Holding Corp,,6,0,0%,,,ARLINGTON HEIGHTS,paylocity holding
237,PayPal Holdings Inc.,,9,2,22%,Financial Services,California,SAN JOSE,paypal holdings
238,PBF Energy Inc.,,8,0,0%,Energy,New Jersey,PARSIPPANY,pbf energy
239,PC CONNECTION INC,,6,2,33%,Technology,New Hampshire,MERRIMACK,pcnnection
240,PCM INC.,,4,0,0%,,,EL SEGUNDO,pcm
241,PCS Edventures!.com Inc.,,5,2,40%,Consumer Defensive,Idaho,Boise,pcs edventurescom
242,PDC ENERGY INC.,,7,1,14%,,,DENVER,pdc energy
243,PDF SOLUTIONS INC,,5,0,0%,Technology,California,SAN JOSE,pdf solutions
244,PDL BIOPHARMA INC.,,7,1,14%,,,INCLINE VILLAGE,pdl biopharma
245,pdvWireless Inc.,,8,0,0%,,,WOODLAND PARK,pdvwireless
246,PEABODY ENERGY CORP,,11,2,18%,Basic Materials,Missouri,ST. LOUIS,peabody energy
247,PEAPACK GLADSTONE FINANCIAL CORP,,11,2,18%,,,BEDMINSTER,peapack gladstone financial
248,Pebblebrook Hotel Trust,,7,2,29%,Real Estate,Maryland,BETHESDA,pebblebrook hotel trust
249,PEGASYSTEMS INC,,9,2,22%,Technology,Massachusetts,CAMBRIDGE,pegasystems
250,Pendrell Corp,,7,0,0%,,,KIRKLAND,pendrell
251,Penn Mutual Life Insurance,,13,5,38%,Financial Services,Pennsylvania,Horsham,penn mutual life insurance
252,PENN NATIONAL GAMING INC,,7,2,29%,Consumer Cyclical,Pennsylvania,WYOMISSING,penn national gaming
253,Penn Virginia Corporation,,3,0,0%,Energy,Pennsylvania,Radnor,penn virginia
254,PENNS WOODS BANCORP INC,,14,1,7%,Financial Services,Pennsylvania,WILLIAMSPORT,penns woods bancorp
255,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,,8,0,0%,,,PHILADELPHIA,pennsylvania real estate investment trust
256,PENNYMAC FINANCIAL SERVICES INC.,,9,1,11%,,,WESTLAKE VILLAGE,pennymac financial services
257,PennyMac Mortgage Investment Trust,,9,2,22%,Real Estate,California,WESTLAKE VILLAGE,pennymac mortgage investment trust
258,PENSKE AUTOMOTIVE GROUP INC.,,13,3,23%,Consumer Cyclical,Michigan,BLOOMFIELD HILLS,penske automotive group
259,PENTAIR plc,,12,2,17%,Industrials,Minnesota,LONDON,pentair plc
260,Penumbra Inc,,6,1,17%,,,ALAMEDA,penumbra
261,People's United Financial Inc.,,11,2,18%,Financial Services,Connecticut,BRIDGEPORT,peoples united financial
262,People's Utah Bancorp,,11,1,9%,,,AMERICAN FORK,peoples utah bancorp
263,PEOPLES BANCORP INC,,10,3,30%,,,MARIETTA,peoples bancorp
264,PEOPLES BANCORP OF NORTH CAROLINA INC,,10,0,0%,,,NEWTON,peoples bancorp of north carolina
265,PEOPLES FINANCIAL SERVICES CORP.,,13,1,8%,,,SCRANTON,peoples financial services
266,PEPSICO INC,,14,4,29%,Consumer Defensive,New York,PURCHASE,pepsico
267,PERFICIENT INC,,5,0,0%,,,ST. LOUIS,perficient
268,Performance Food Group Co,,9,1,11%,Consumer Defensive,Virginia,RICHMOND,performance food group
269,Performant Financial Corporation,,6,1,17%,Industrials,California,Livermore,performant financial
270,Perfumania Holdings Inc.,,6,0,0%,Consumer Cyclical,New York,Bellport,perfumania holdings
271,PERKINELMER INC,,8,1,13%,Healthcare,Massachusetts,WALTHAM,perkinelmer
272,PERRIGO Co plc,,11,2,18%,Healthcare,,DUBLIN,perrigo plc
273,PERRY ELLIS INTERNATIONAL INC,,7,1,14%,Consumer Cyclical,Florida,MIAMI,perry ellis international
274,PETMED EXPRESS INC,,5,0,0%,Consumer Defensive,Florida,DELRAY BEACH,petmed express
275,PFIZER INC,,12,3,25%,Healthcare,New York,NEW YORK,pfizer
276,PG&E Corp,,13,3,23%,Utilities,California,SAN FRANCISCO,pge
277,PGT Innovations Inc.,,9,1,11%,Basic Materials,Florida,NORTH VENICE,pgt innovations
278,Pharmaceutical Product Development LLC,,9,1,11%,Healthcare,North Carolina,Wilmington,pharmaceutical product development llc
279,PharmAthene Inc.,,6,0,0%,Healthcare,Maryland,Annapolis,pharmathene
280,PharMerica CORP,,7,1,14%,Healthcare,Kentucky,LOUISVILLE,pharmerica
281,PHH CORP,,7,1,14%,Financial Services,New Jersey,MOUNT LAUREL,phh
282,PHI INC,,5,0,0%,,,LAFAYETTE,phi
283,PHIBRO ANIMAL HEALTH CORP,,8,2,25%,,,TEANECK,phibro animal health
284,Philip Morris International Inc.,,13,2,15%,Consumer Defensive,New York,NEW YORK,philip morris international
285,Phillips 66,,10,3,30%,Energy,Texas,HOUSTON,phillips 66
286,PHOTRONICS INC,,7,0,0%,,,BROOKFIELD,photronics
287,Physicians Realty Trust,,7,0,0%,,,MILWAUKEE,physicians realty trust
288,PICO HOLDINGS INC /NEW,,5,0,0%,Real Estate,California,LA JOLLA,pico holdings new
289,Piedmont Natural Gas Company Inc.,,13,3,23%,Utilities,North Carolina,Charlotte,piedmont natural gasmpany
290,Piedmont Office Realty Trust Inc.,,8,2,25%,Real Estate,Georgia,JOHNS CREEK,piedmont office realty trust
291,PIER 1 IMPORTS INC/DE,,9,4,44%,,,FORT WORTH,pier 1 importsde
292,PIERIS PHARMACEUTICALS INC.,,7,0,0%,,,BOSTON,pieris pharmaceuticals
293,PILGRIMS PRIDE CORP,,9,0,0%,Consumer Defensive,Colorado,GREELEY,pilgrims pride
294,Pinnacle Entertainment Inc.,,8,2,25%,Consumer Cyclical,Nevada,LAS VEGAS,pinnacle entertainment
295,PINNACLE FINANCIAL PARTNERS INC,,14,2,14%,,,NASHVILLE,pinnacle financial partners
296,Pinnacle Foods Inc.,,8,2,25%,Consumer Defensive,New Jersey,PARSIPPANY,pinnacle foods
297,PINNACLE WEST CAPITAL CORP,,11,2,18%,Utilities,Arizona,PHOENIX,pinnacle west capital
298,PIONEER ENERGY SERVICES CORP,,5,0,0%,,,SAN ANTONIO,pioneer energy services
299,PIONEER NATURAL RESOURCES CO,,13,3,23%,Energy,Texas,IRVING,pioneer natural resources
300,PIPER JAFFRAY COMPANIES,,9,2,22%,Financial Services,Minnesota,MINNEAPOLIS,piper jaffraympanies
301,PITNEY BOWES INC /DE/,,11,4,36%,Industrials,Connecticut,STAMFORD,pitney bowes
302,PIXELWORKS INC,,5,0,0%,,,SAN JOSE,pixelworks
303,PJT Partners Inc.,,6,1,17%,,,NEW YORK,pjt partners
304,Plains All American Pipeline L.P.,,8,0,0%,Energy,Texas,Houston,plains all american pipeline lp
305,Plains GP Holdings,,7,0,0%,Energy,Texas,Houston,plains gp holdings
306,Planet Fitness Inc.,,6,1,17%,,,NEWINGTON,planet fitness
307,Planet Payment Inc,,4,0,0%,,,LONG BEACH,planet payment
308,PLANTRONICS INC /CA/,,8,1,13%,Technology,California,SANTA CRUZ,plantronics ca
309,Platform Specialty Products Corp,,7,0,0%,Basic Materials,Florida,WEST PALM BEACH,platform specialty products
310,PLEXUS CORP,,9,1,11%,Technology,Wisconsin,NEENAH,plexus
311,PLUG POWER INC,,9,1,11%,,,LATHAM,plug power
312,PLY GEM HOLDINGS INC,,9,2,22%,,,CARY,ply gem holdings
313,PNC FINANCIAL SERVICES GROUP INC.,,14,5,36%,Financial Services,Pennsylvania,PITTSBURGH,pnc financial services group
314,PNM RESOURCES INC,,8,3,38%,Utilities,New Mexico,ALBUQUERQUE,pnm resources
315,POLARIS INDUSTRIES INC/MN,,8,2,25%,Consumer Cyclical,Minnesota,MEDINA,polaris industriesmn
316,Polycom Inc.,,6,1,17%,Technology,California,San Jose,polycom
317,POLYONE CORP,,10,2,20%,Basic Materials,Ohio,AVON LAKE,polyone
318,POOL CORP,,7,0,0%,Consumer Cyclical,Louisiana,COVINGTON,pool
319,POPULAR INC,,9,2,22%,Financial Services,Puerto Rico,HATO REY,popular
320,PORTLAND GENERAL ELECTRIC CO /OR/,,11,2,18%,Utilities,Oregon,PORTLAND,portland general electric or
321,PORTOLA PHARMACEUTICALS INC,,9,1,11%,Healthcare,California,SOUTH SAN FRANCISCO,portola pharmaceuticals
322,Post Holdings Inc.,,8,0,0%,Consumer Defensive,Missouri,ST. LOUIS,post holdings
323,POTBELLY CORP,,8,3,38%,,,CHICAGO,potbelly
324,POTLATCH CORP,,8,1,13%,,,SPOKANE,potlatch
325,POWELL INDUSTRIES INC,,9,1,11%,,,HOUSTON,powell industries
326,POWER INTEGRATIONS INC,,8,1,13%,Technology,California,SAN JOSE,power integrations
327,PPG INDUSTRIES INC.,,11,3,27%,Basic Materials,Pennsylvania,PITTSBURGH,ppg industries
328,PPL Corp,,9,1,11%,Utilities,Pennsylvania,ALLENTOWN,ppl
329,PRA GROUP INC,,10,1,10%,Industrials,Virginia,NORFOLK,pra group
330,PRA Health Sciences Inc.,,7,1,14%,,,RALEIGH,pra health sciences
331,PRAXAIR INC,,9,1,11%,Basic Materials,Connecticut,DANBURY,praxair
332,PREFERRED APARTMENT COMMUNITIES INC,,9,0,0%,,,ATLANTA,preferred apartmentmmunities
333,Preferred Bank,,7,0,0%,,,LOS ANGELES,preferred bank
334,PREFORMED LINE PRODUCTS CO,,8,1,13%,,,MAYFIELD VILLAGE,preformed line products
335,PREMIER FINANCIAL BANCORP INC,,9,0,0%,,,HUNTINGTON,premier financial bancorp
336,Premier Inc,,16,3,19%,Healthcare,North Carolina,Charlotte,premier
337,Premier Inc.,,16,3,19%,,,CHARLOTTE,premier
338,Presidio Inc.,,9,0,0%,,,NEW YORK,presidio
339,Prestige Brands Holdings Inc.,,7,1,14%,,,TARRYTOWN,prestige brands holdings
340,PRICE T ROWE GROUP INC,,13,4,31%,Financial Services,Maryland,BALTIMORE,price t rowe group
341,Priceline Group Inc.,,12,2,17%,Consumer Cyclical,Connecticut,NORWALK,priceline group
342,PRICESMART INC,,10,1,10%,Consumer Defensive,California,SAN DIEGO,pricesmart
343,Primerica Inc.,,11,3,27%,,,DULUTH,primerica
344,Primo Water Corp,,8,1,13%,,,WINSTON-SALEM,primo water
345,Primoris Services Corp,,8,0,0%,Industrials,Texas,DALLAS,primoris services
346,PRINCIPAL FINANCIAL GROUP INC,,11,4,36%,Financial Services,Iowa,DES MOINES,principal financial group
347,PROASSURANCE CORP,,10,1,10%,,,BIRMINGHAM,proassurance
348,Procter & Gamble Company,,11,4,36%,Consumer Defensive,Ohio,CINCINNATI,procter  gamblempany
349,PROGENICS PHARMACEUTICALS INC,,7,2,29%,,,NEW YORK,progenics pharmaceuticals
350,PROGRESS SOFTWARE CORP /MA,,7,0,0%,Technology,Massachusetts,BEDFORD,progress software ma
351,PROGRESSIVE CORPORATION,,11,3,27%,Financial Services,Ohio,MAYFIELD VILLAGE,progressive
352,Prologis Inc.,,10,1,10%,Real Estate,California,SAN FRANCISCO,prologis
353,PROOFPOINT INC,,7,1,14%,Technology,California,SUNNYVALE,proofpoint
354,ProPetro Holding Corp.,,10,0,0%,,,MIDLAND,propetro holding
355,PROS HOLDINGS INC.,,8,2,25%,,,HOUSTON,pros holdings
356,PROSPERITY BANCSHARES INC,,11,1,9%,Financial Services,Texas,HOUSTON,prosperity bancshares
357,Prothena Corp plc,,7,0,0%,,,DUN LAOGHAIRE,prothena plc
358,Proto Labs Inc,,7,1,14%,,,MAPLE PLAIN,proto labs
359,PROVIDENCE SERVICE CORP,,8,2,25%,Healthcare,Arizona,STAMFORD,providence service
360,Provident Bancorp Inc.,,10,2,20%,,,AMESBURY,provident bancorp
361,PROVIDENT FINANCIAL HOLDINGS INC,,7,2,29%,,,RIVERSIDE,provident financial holdings
362,PROVIDENT FINANCIAL SERVICES INC,,10,1,10%,,,JERSEY CITY,provident financial services
363,PRUDENTIAL BANCORP INC.,,6,0,0%,,,PHILADELPHIA,prudential bancorp
364,PRUDENTIAL FINANCIAL INC,,12,3,25%,Financial Services,New Jersey,NEWARK,prudential financial
365,PS BUSINESS PARKS INC/CA,,9,3,33%,Real Estate,California,GLENDALE,ps business parksca
366,PTC INC.,,8,1,13%,Technology,Massachusetts,NEEDHAM,ptc
367,PTC THERAPEUTICS INC.,,9,1,11%,,,SOUTH PLAINFIELD,ptc therapeutics
368,PUBLIC SERVICE ENTERPRISE GROUP INC,,11,2,18%,Utilities,New Jersey,NEWARK,public service enterprise group
369,Public Storage,,9,2,22%,Real Estate,California,GLENDALE,public storage
370,Publix Super Markets Inc.,,9,3,33%,Consumer Defensive,Florida,Lakeland,publix super markets
371,Puget Energy Inc.,,11,2,18%,Utilities,Washington,Bellevue,puget energy
372,PULTEGROUP INC/MI/,,12,1,8%,Consumer Cyclical,Georgia,ATLANTA,pultegroupmi
373,PUMA BIOTECHNOLOGY INC.,,5,0,0%,Healthcare,California,LOS ANGELES,puma biotechnology
374,PURE CYCLE CORP,,6,0,0%,,,WATKINS,pure cycle
375,Pure Storage Inc.,,8,1,13%,,,MOUNTAIN VIEW,pure storage
376,PVH CORP. /DE/,,12,4,33%,Consumer Cyclical,New York,NEW YORK,pvh
377,Pzena Investment Management Inc.,,7,0,0%,,,NEW YORK,pzena investment management
378,Q2 Holdings Inc.,,9,1,11%,,,AUSTIN,q2 holdings
379,QAD INC,,6,1,17%,,,SANTA BARBARA,qad
380,QC Holdings Inc.,,5,1,20%,Financial Services,Kansas,Overland Park,qc holdings
381,QCR HOLDINGS INC,,11,3,27%,,,MOLINE,qcr holdings
382,QEP RESOURCES INC.,,8,1,13%,Energy,Colorado,DENVER,qep resources
383,QIAGEN NV,,7,2,29%,Healthcare,,VENLO,qiagen nv
384,Qorvo Inc.,,11,1,9%,,,GREENSBORO,qorvo
385,QTS Realty Trust Inc.,,8,1,13%,,,OVERLAND PARK,qts realty trust
386,Quad/Graphics Inc.,,9,1,11%,Industrials,Wisconsin,SUSSEX,quadgraphics
387,QUAKER CHEMICAL CORP,,9,1,11%,,,CONSHOHOCKEN,quaker chemical
388,QUALCOMM INC/DE,,11,2,18%,Technology,California,SAN DIEGO,qualcommde
389,QUALITY CARE PROPERTIES INC.,,7,1,14%,,,BETHESDA,quality care properties
390,QUALITY SYSTEMS INC,,9,1,11%,,,IRVINE,quality systems
391,QUALYS INC.,,7,2,29%,Technology,California,REDWOOD CITY,qualys
392,Quanex Building Products CORP,,6,1,17%,,,HOUSTON,quanex building products
393,QUANTA SERVICES INC,,9,1,11%,Industrials,Texas,HOUSTON,quanta services
394,QUANTUM CORP /DE/,,7,0,0%,Technology,California,SAN JOSE,quantum
395,QUEST DIAGNOSTICS INC,,9,3,33%,Healthcare,New Jersey,MADISON,quest diagnostics
396,QUIDEL CORP /DE/,,7,1,14%,Healthcare,California,SAN DIEGO,quidel
397,QUINSTREET INC,,8,2,25%,Technology,California,FOSTER CITY,quinstreet
398,Quintiles IMS Holdings Inc.,,11,0,0%,Healthcare,North Carolina,DURHAM,quintiles ims holdings
399,Quotient Technology Inc.,,7,1,14%,,,MOUNTAIN VIEW,quotient technology
400,R1 RCM INC.,,10,0,0%,,,CHICAGO,r1 rcm
401,Rackspace Hosting Inc.,,8,2,25%,Technology,Texas,City of Windcrest,rackspace hosting
402,RADIAN GROUP INC,,10,1,10%,Financial Services,Pennsylvania,PHILADELPHIA,radian group
403,RADIANT LOGISTICS INC,,4,0,0%,,,BELLEVUE,radiant logistics
404,Radio One Inc.,,7,1,14%,Consumer Cyclical,Maryland,Silver Spring,radio one
405,RADISYS CORP,,7,0,0%,,,HILLSBORO,radisys
406,Radius Health Inc.,,10,1,10%,,,WALTHAM,radius health
407,RadNet Inc.,,7,0,0%,,,LOS ANGELES,radnet
408,RAIT Financial Trust,,9,1,11%,Real Estate,Pennsylvania,PHILADELPHIA,rait financial trust
409,RALPH LAUREN CORP,,11,3,27%,Consumer Cyclical,New York,NEW YORK,ralph lauren
410,Ramaco Resources Inc.,,8,0,0%,,,LEXINGTON,ramaco resources
411,RAMBUS INC,,7,1,14%,Technology,California,SUNNYVALE,rambus
412,RAMCO GERSHENSON PROPERTIES TRUST,,7,1,14%,,,FARMINGTON HILLS,ramco gershenson properties trust
413,RANGE RESOURCES CORP,,11,2,18%,Energy,Texas,FORT WORTH,range resources
414,Rapid7 Inc.,,9,1,11%,,,BOSTON,rapid7
415,RAVEN INDUSTRIES INC,,8,1,13%,,,SIOUX FALLS,raven industries
416,RAYMOND JAMES FINANCIAL INC,,11,2,18%,Financial Services,Florida,ST. PETERSBURG,raymond james financial
417,RAYONIER ADVANCED MATERIALS INC.,,9,1,11%,,,JACKSONVILLE,rayonier advanced materials
418,RAYONIER INC,,9,2,22%,Basic Materials,Florida,JACKSONVILLE,rayonier
419,RAYTHEON COMPANY,,11,2,18%,Industrials,Massachusetts,WALTHAM,raytheonmpany
420,RBC Bearings INC,,8,0,0%,,,OXFORD,rbc bearings
421,RE/MAX Holdings Inc.,,10,4,40%,Real Estate,Colorado,DENVER,remax holdings
422,READING INTERNATIONAL INC,,9,3,33%,,,CULVER CITY,reading international
423,REALNETWORKS INC,,7,2,29%,,,SEATTLE,realnetworks
424,REALOGY HOLDINGS CORP.,,9,3,33%,Real Estate,New Jersey,MADISON,realogy holdings
425,REALPAGE INC,,7,0,0%,,,RICHARDSON,realpage
426,REALTY INCOME CORP,,8,2,25%,Real Estate,California,SAN DIEGO,realtyome
427,REATA PHARMACEUTICALS INC,,6,0,0%,,,IRVING,reata pharmaceuticals
428,RED HAT INC,,8,2,25%,Technology,North Carolina,RALEIGH,red hat
429,Red Lion Hotels CORP,,9,1,11%,,,SPOKANE,red lion hotels
430,RED ROBIN GOURMET BURGERS INC,,9,4,44%,,,GREENWOOD VILLAGE,red robin gourmet burgers
431,Red Rock Resorts Inc.,,5,0,0%,,,LAS VEGAS,red rock resorts
432,REDWOOD TRUST INC,,9,4,44%,Real Estate,California,MILL VALLEY,redwood trust
433,REGAL BELOIT CORP,,10,2,20%,Industrials,Wisconsin,BELOIT,regal beloit
434,REGAL ENTERTAINMENT GROUP,,9,1,11%,Consumer Cyclical,Tennessee,KNOXVILLE,regal entertainment group
435,REGENCY CENTERS CORP,,11,1,9%,Real Estate,Florida,JACKSONVILLE,regency centers
436,REGENERON PHARMACEUTICALS INC,,13,3,23%,Healthcare,New York,TARRYTOWN,regeneron pharmaceuticals
437,REGENXBIO Inc.,,8,0,0%,,,ROCKVILLE,regenxbio
438,Regional Management Corp.,,7,0,0%,,,GREER,regional management
439,REGIONS FINANCIAL CORP,,14,3,21%,Financial Services,Alabama,BIRMINGHAM,regions financial
440,REGIS CORP,,8,1,13%,Consumer Cyclical,Minnesota,EDINA,regis
441,Regulus Therapeutics Inc.,,7,0,0%,Healthcare,California,San Diego,regulus therapeutics
442,REINSURANCE GROUP OF AMERICA INC,,11,4,36%,Financial Services,Missouri,CHESTERFIELD,reinsurance group of america
443,Reis Inc.,,5,0,0%,,,NEW YORK,reis
444,RELIANCE STEEL & ALUMINUM CO,,11,2,18%,Basic Materials,California,LOS ANGELES,reliance steel  aluminum
445,RENAISSANCERE HOLDINGS LTD,,11,2,18%,Financial Services,,PEMBROKE,renaissancere holdings
